Date,HCL
31-01-2022,1100.650024
01-02-2022,1116.699951
02-02-2022,1142.900024
03-02-2022,1162
04-02-2022,1160
07-02-2022,1157
08-02-2022,1158.949951
09-02-2022,1172
10-02-2022,1184.949951
11-02-2022,1179
14-02-2022,1135.349976
15-02-2022,1153.5
16-02-2022,1178
17-02-2022,1174
18-02-2022,1152.849976
21-02-2022,1153.099976
22-02-2022,1132
23-02-2022,1156
24-02-2022,1106
25-02-2022,1115.599976
28-02-2022,1119.599976
02-03-2022,1124.650024
03-03-2022,1125
04-03-2022,1128
07-03-2022,1111
08-03-2022,1156
09-03-2022,1180
10-03-2022,1198.199951
11-03-2022,1180
14-03-2022,1193.449951
15-03-2022,1207
16-03-2022,1190.150024
17-03-2022,1215
21-03-2022,1199.900024
22-03-2022,1170
23-03-2022,1190
24-03-2022,1169
25-03-2022,1199
28-03-2022,1184.900024
29-03-2022,1167
30-03-2022,1177.349976
31-03-2022,1174.800049
01-04-2022,1161
04-04-2022,1173.199951
05-04-2022,1190
06-04-2022,1190
07-04-2022,1165.599976
08-04-2022,1179
11-04-2022,1164
12-04-2022,1129.800049
13-04-2022,1135
18-04-2022,1110
19-04-2022,1115.900024
20-04-2022,1075
21-04-2022,1095
22-04-2022,1086.599976
25-04-2022,1096.900024
26-04-2022,1104
27-04-2022,1087
28-04-2022,1092
29-04-2022,1094
02-05-2022,1073
04-05-2022,1075.900024
05-05-2022,1059
06-05-2022,1049.900024
09-05-2022,1044
10-05-2022,1073
11-05-2022,1069
12-05-2022,1050.099976
13-05-2022,1070
16-05-2022,1054
17-05-2022,1058.199951
18-05-2022,1083.550049
19-05-2022,1055.099976
20-05-2022,1029
23-05-2022,1023
24-05-2022,1022.049988
25-05-2022,992
26-05-2022,977
27-05-2022,989
30-05-2022,1019
31-05-2022,1045
01-06-2022,1040.75
02-06-2022,1011.400024
03-06-2022,1053.949951
06-06-2022,1038
07-06-2022,1030
08-06-2022,1023.099976
09-06-2022,1024.949951
10-06-2022,1012
13-06-2022,996
14-06-2022,988
15-06-2022,989
16-06-2022,1007
17-06-2022,952.400024
20-06-2022,965
21-06-2022,971.700012
22-06-2022,977.950012
23-06-2022,962.099976
24-06-2022,984
27-06-2022,986.150024
28-06-2022,989.900024
29-06-2022,985.099976
30-06-2022,990
01-07-2022,964.5
04-07-2022,975.349976
05-07-2022,987.400024
06-07-2022,982
07-07-2022,997
08-07-2022,999
11-07-2022,975
12-07-2022,935
13-07-2022,930
14-07-2022,926.150024
15-07-2022,896
18-07-2022,895
19-07-2022,890
20-07-2022,904.599976
21-07-2022,921
22-07-2022,929.400024
25-07-2022,920.25
26-07-2022,928.5
27-07-2022,912.099976
28-07-2022,935.900024
29-07-2022,957
01-08-2022,954
02-08-2022,952.150024
03-08-2022,951
04-08-2022,965
05-08-2022,962.900024
08-08-2022,957.75
10-08-2022,966.049988
11-08-2022,965
12-08-2022,964
16-08-2022,969
17-08-2022,963
18-08-2022,983.450012
19-08-2022,974.5
22-08-2022,965
23-08-2022,949.950012
24-08-2022,949.900024
25-08-2022,953.900024
26-08-2022,948.549988
29-08-2022,912.599976
30-08-2022,926.900024
01-09-2022,917.299988
02-09-2022,931.200012
05-09-2022,926
06-09-2022,936
07-09-2022,927
08-09-2022,936.400024
09-09-2022,939
12-09-2022,955.150024
13-09-2022,955
14-09-2022,933.299988
15-09-2022,936.5
16-09-2022,915.099976
19-09-2022,897.950012
20-09-2022,902.299988
21-09-2022,909
22-09-2022,897.599976
23-09-2022,896.5
26-09-2022,891.25
27-09-2022,911.25
28-09-2022,913
29-09-2022,927
30-09-2022,921.900024
03-10-2022,932.349976
04-10-2022,942.5
06-10-2022,955.5
07-10-2022,965
10-10-2022,942.200012
11-10-2022,968.099976
12-10-2022,943.299988
13-10-2022,972.049988
14-10-2022,1005
17-10-2022,1005.700012
18-10-2022,1000
