Date,Infosys
31-01-2022,1718
01-02-2022,1766.099976
02-02-2022,1789
03-02-2022,1779
04-02-2022,1732
07-02-2022,1722.199951
08-02-2022,1710
09-02-2022,1735
10-02-2022,1755.650024
11-02-2022,1740
14-02-2022,1690
15-02-2022,1699
16-02-2022,1738.25
17-02-2022,1744
18-02-2022,1710
21-02-2022,1701
22-02-2022,1699.900024
23-02-2022,1750
24-02-2022,1690.099976
25-02-2022,1715
28-02-2022,1682.199951
02-03-2022,1710
03-03-2022,1720.199951
04-03-2022,1695.25
07-03-2022,1697
08-03-2022,1718.449951
09-03-2022,1791
10-03-2022,1844.75
11-03-2022,1814
14-03-2022,1831.550049
15-03-2022,1888.349976
16-03-2022,1865
17-03-2022,1923.300049
21-03-2022,1861
22-03-2022,1850
23-03-2022,1897
24-03-2022,1856.150024
25-03-2022,1892
28-03-2022,1866
29-03-2022,1873.900024
30-03-2022,1910
31-03-2022,1900
01-04-2022,1886.849976
04-04-2022,1889.75
05-04-2022,1883.800049
06-04-2022,1855
07-04-2022,1821.050049
08-04-2022,1823
11-04-2022,1814
12-04-2022,1757.5
13-04-2022,1754.949951
18-04-2022,1605.5
19-04-2022,1636.650024
20-04-2022,1575
21-04-2022,1595
22-04-2022,1604.349976
25-04-2022,1572.800049
26-04-2022,1577.199951
27-04-2022,1572.75
28-04-2022,1570
29-04-2022,1590
02-05-2022,1550.900024
04-05-2022,1547.25
05-05-2022,1560.050049
06-05-2022,1550
09-05-2022,1540
10-05-2022,1558
11-05-2022,1549.949951
12-05-2022,1514
13-05-2022,1519.300049
16-05-2022,1510
17-05-2022,1494.900024
18-05-2022,1522
19-05-2022,1481
20-05-2022,1453
23-05-2022,1455.099976
24-05-2022,1468.599976
25-05-2022,1435
26-05-2022,1418
27-05-2022,1443.949951
30-05-2022,1487
31-05-2022,1510.699951
01-06-2022,1513
02-06-2022,1484
03-06-2022,1524.900024
06-06-2022,1516
07-06-2022,1519.849976
08-06-2022,1520.199951
09-06-2022,1485
10-06-2022,1486.099976
13-06-2022,1443.599976
14-06-2022,1410
15-06-2022,1440.199951
16-06-2022,1438
17-06-2022,1391.050049
20-06-2022,1390.050049
