Date,Open
31-01-2022,3749
01-02-2022,3770
02-02-2022,3827.899902
03-02-2022,3851
04-02-2022,3815.300049
07-02-2022,3791
08-02-2022,3791.550049
09-02-2022,3750
10-02-2022,3789.800049
11-02-2022,3752.5
14-02-2022,3724
15-02-2022,3786
16-02-2022,3844
17-02-2022,3825
18-02-2022,3769
21-02-2022,3810
22-02-2022,3650
23-02-2022,3611
24-02-2022,3474
25-02-2022,3468
28-02-2022,3490
02-03-2022,3552.5
03-03-2022,3562.850098
04-03-2022,3501.5
07-03-2022,3450
08-03-2022,3460
09-03-2022,3605
10-03-2022,3684
11-03-2022,3603.25
14-03-2022,3580
15-03-2022,3659
16-03-2022,3640.5
17-03-2022,3696.600098
21-03-2022,3696
22-03-2022,3640
23-03-2022,3708
24-03-2022,3700
25-03-2022,3759.899902
28-03-2022,3695
29-03-2022,3694.75
30-03-2022,3738
31-03-2022,3740
01-04-2022,3748
04-04-2022,3762
05-04-2022,3772
06-04-2022,3809.300049
07-04-2022,3745.5
08-04-2022,3690
11-04-2022,3690
12-04-2022,3683
13-04-2022,3707
18-04-2022,3610
19-04-2022,3550
20-04-2022,3500
21-04-2022,3580
22-04-2022,3581.100098
25-04-2022,3558
26-04-2022,3575.149902
27-04-2022,3546
28-04-2022,3588
29-04-2022,3597
02-05-2022,3519.899902
04-05-2022,3538.5
05-05-2022,3512.100098
06-05-2022,3459
09-05-2022,3398
10-05-2022,3434
11-05-2022,3435
12-05-2022,3378
13-05-2022,3435
16-05-2022,3415
17-05-2022,3370
18-05-2022,3465
19-05-2022,3397
20-05-2022,3310
23-05-2022,3304.800049
24-05-2022,3315.149902
25-05-2022,3292.850098
26-05-2022,3191
27-05-2022,3253.199951
30-05-2022,3297
31-05-2022,3354.149902
01-06-2022,3388
02-06-2022,3355
03-06-2022,3459.399902
06-06-2022,3418
07-06-2022,3401.050049
08-06-2022,3380.149902
09-06-2022,3385
10-06-2022,3382
13-06-2022,3290
14-06-2022,3190
15-06-2022,3218.5
16-06-2022,3240
17-06-2022,3092
20-06-2022,3094
21-06-2022,3130
22-06-2022,3199.899902
23-06-2022,3222.949951
24-06-2022,3339
27-06-2022,3350
28-06-2022,3307
29-06-2022,3271
30-06-2022,3272
01-07-2022,3260
04-07-2022,3312
05-07-2022,3255
06-07-2022,3218.5
07-07-2022,3271
08-07-2022,3300
11-07-2022,3206.149902
12-07-2022,3114.899902
13-07-2022,3104
14-07-2022,3056
15-07-2022,3018.550049
18-07-2022,3023
19-07-2022,3030.050049
20-07-2022,3107.800049
21-07-2022,3167
22-07-2022,3185
25-07-2022,3165
26-07-2022,3164.699951
27-07-2022,3115
28-07-2022,3216
29-07-2022,3290
01-08-2022,3327
02-08-2022,3290
03-08-2022,3280
04-08-2022,3350
05-08-2022,3361.199951
08-08-2022,3365
10-08-2022,3385
11-08-2022,3400
12-08-2022,3419
16-08-2022,3411
17-08-2022,3385.100098
18-08-2022,3390
19-08-2022,3387
22-08-2022,3365
23-08-2022,3319.949951
24-08-2022,3292
25-08-2022,3276
26-08-2022,3234.300049
29-08-2022,3125
30-08-2022,3155
01-09-2022,3190
02-09-2022,3163
05-09-2022,3123.649902
